,PM25,O3,WS,TEMP,RH,WD
214,15.5,22.0,1,28.0,79,129
215,11.0,16.0,2,28.0,78,128
216,20.3,3.0,1,28.0,79,122
217,13.7,12.0,1,27.0,79,123
218,15.7,1.0,1,27.0,80,116
219,12.4,0.0,1,27.0,84,109
220,13.9,0.0,1,26.0,87,107
221,13.7,0.0,1,26.0,89,107
222,16.8,5.0,1,26.0,90,106
223,21.0,2.0,1,27.0,84,114
224,19.0,0.0,1,28.0,78,123
225,13.9,0.0,1,29.0,71,131
226,16.6,0.0,1,31.0,63,162
227,10.5,2.0,1,31.0,60,143
228,12.5,11.0,1,32.0,57,168
229,10.8,4.0,1,32.0,54,171
230,13.2,10.0,1,32.0,55,163
231,10.9,8.0,1,32.0,57,170
232,8.9,6.0,1,31.0,61,163
233,9.1,9.0,1,29.0,68,188
234,15.8,6.0,1,28.0,73,190
235,16.7,11.415652173913044,1,28.0,75,190
236,16.0,6.0,1,28.0,76,163
237,12.4,0.0,1,28.0,76,129
238,17.5,0.0,1,28.0,77,134
239,15.6,2.0,1,28.0,78,119
240,16.0,2.0,1,27.0,79,118
241,12.2,0.0,1,27.0,80,110
242,13.7,5.0,1,27.0,81,105
243,11.1,0.0,1,27.0,83,102
244,13.2,0.0,1,26.0,86,99
245,15.9,3.0,1,26.0,87,102
246,18.1,5.0,1,26.0,86,104
247,16.7,2.0,1,27.0,85,107
248,25.5,2.0,1,29.0,73,114
249,16.8,0.0,1,30.0,62,146
250,13.8,0.0,1,31.0,58,141
251,11.9,7.0,1,32.0,56,150
252,17.0,2.0,1,32.0,54,143
253,17.0,2.0,1,32.0,53,138
254,13.2,14.0,1,32.0,54,166
255,11.1,2.0,1,31.0,59,204
256,9.7,1.0,1,30.0,63,199
257,14.8,20.0,1,29.0,69,139
258,20.0,9.0,1,28.0,72,145
259,18.3,7.0,1,28.0,74,171
260,16.7,11.415652173913044,1,28.0,74,137
261,13.6,0.0,1,28.0,74,134
262,14.9,0.0,1,28.0,75,131
263,13.1,12.0,1,27.0,78,101
264,13.5,2.0,1,27.0,79,106
265,20.2,11.0,1,27.0,79,97
266,14.7,9.0,1,26.0,83,106
267,13.0,6.0,1,26.0,86,110
268,13.7,3.0,1,25.0,87,106
269,16.9,0.0,1,25.0,89,106
270,27.1,0.0,1,25.0,90,109
271,30.5,1.0,1,25.0,88,109
272,22.6,1.0,1,28.0,75,122
273,18.3,2.0,1,29.0,65,160
274,12.5,3.0,1,31.0,57,138
275,13.9,5.0,1,31.0,57,141
276,14.5,13.0,1,32.0,54,174
277,15.7,8.0,1,32.0,51,137
278,18.4,27.0,1,32.0,51,143
279,16.5,29.0,1,31.0,55,165
280,18.9,28.0,1,30.0,61,141
281,15.8,28.0,1,29.0,66,141
282,22.6,13.0,1,28.0,70,142
283,26.8,3.0,1,28.0,73,145
284,23.4,3.0,1,28.0,74,119
285,23.8,11.415652173913044,1,27.0,74,115
286,22.1,0.0,1,27.0,75,103
287,24.5,24.0,1,27.0,76,96
288,21.0,3.0,1,27.0,77,101
289,19.9,11.0,1,26.0,78,98
290,20.1,6.0,1,26.0,80,96
291,17.0,1.0,1,26.0,80,99
292,19.3,3.0,1,26.0,79,96
293,15.8,18.0,1,26.0,80,96
294,16.9,7.0,1,26.0,78,98
295,16.9,13.0,1,26.0,77,95
296,21.5,14.0,1,28.0,68,116
297,15.5,33.0,1,29.0,63,115
298,19.2,39.0,1,30.0,56,112
299,25.4,40.0,1,31.0,50,144
300,23.4,0.0,1,32.0,47,170
301,21.9,31.0,1,32.0,48,168
302,15.9,6.0,1,32.0,50,156
303,17.7,1.0,1,31.0,55,146
304,22.6,1.0,1,31.0,54,142
305,22.1,1.0,1,30.0,60,144
306,21.2,9.0,1,28.0,67,121
307,24.7,3.0,1,28.0,71,115
308,24.3,1.0,1,27.0,74,113
309,24.8,1.0,1,27.0,75,109
310,27.4,11.415652173913044,1,27.0,75,111
311,23.7,4.0,1,26.0,78,108
312,28.3,9.0,1,26.0,79,109
313,23.5,11.415652173913044,1,26.0,82,107
314,22.1,140.0,1,25.0,85,107
315,22.7,94.0,1,25.0,85,110
316,28.4,1.0,1,25.0,86,106
317,31.4,1.0,1,25.0,85,106
318,21.4,0.0,1,25.0,86,105
319,29.5,10.0,1,26.0,78,112
320,19.5,1.0,1,28.0,70,129
321,22.3,1.0,1,29.0,65,114
322,21.2,6.0,1,30.0,60,129
323,25.6,0.0,1,31.0,52,140
324,27.9,19.0,1,32.0,48,158
325,24.6,18.0,1,31.0,52,167
326,20.1,43.0,1,31.0,52,191
327,17.6904,37.0,1,31.0,51,158
328,17.6904,30.0,1,30.0,56,183
329,19.2,1.0,1,29.0,60,153
330,20.1,2.0,1,28.0,63,135
331,22.7,0.0,1,27.0,68,114
332,31.5,1.0,1,27.0,69,118
333,22.8,1.0,1,27.0,70,117
334,19.7,2.0,1,27.0,71,116
335,13.9,11.415652173913044,1,27.0,71,117
336,13.7,11.0,2,27.0,74,119
337,15.9,25.0,1,27.0,75,113
338,14.1,22.0,1,26.0,78,106
339,12.7,25.0,1,26.0,79,116
340,13.7,25.0,1,27.0,75,117
341,24.9,2.0,1,27.0,76,117
342,21.3,5.0,1,27.0,78,109
343,18.8,3.0,1,27.0,75,118
344,18.2,3.0,1,28.0,70,114
345,13.6,13.0,1,30.0,62,142
346,15.7,9.0,1,30.0,59,207
347,19.3,4.0,1,31.0,55,219
348,18.5,2.0,1,32.0,54,197
349,14.9,2.0,1,32.0,49,166
350,12.1,6.0,1,32.0,51,172
351,16.8,22.0,1,32.0,50,154
352,16.2,5.0,1,31.0,54,189
353,15.5,1.0,1,30.0,60,143
354,16.2,1.0,1,28.0,68,138
355,11.7,10.0,1,28.0,72,130
356,17.7,1.0,1,28.0,73,133
357,15.1,10.0,1,28.0,73,134
358,20.2,36.0,1,28.0,73,142
359,18.3,16.0,1,28.0,73,123
360,20.1,11.415652173913044,1,27.0,77,109
361,19.8,25.0,1,26.0,82,106
362,17.2,29.0,1,26.0,85,107
363,16.1,26.0,1,26.0,88,105
364,19.9,18.0,1,26.0,89,104
365,22.5,5.0,1,26.0,90,104
366,24.7,22.0,1,26.0,87,103
367,19.8,1.0,1,26.0,89,107
368,24.9,0.0,1,28.0,74,140
369,14.0,1.0,1,30.0,68,169
370,27.3,3.0,1,30.0,62,208
371,19.9,1.0,1,31.0,60,216
372,15.4,7.0,1,32.0,58,218
373,12.4,26.0,1,32.0,55,178
374,10.2,27.0,1,31.0,57,148
375,9.1,29.0,1,31.0,61,199
376,11.2,30.0,1,30.0,63,172
377,17.3,0.0,1,29.0,67,152
378,17.9,3.0,1,29.0,71,132
379,19.4,4.0,1,28.0,73,137
380,23.9,1.0,1,28.0,74,121
381,26.9,20.0,1,28.0,75,123
382,23.9,13.0,1,28.0,79,130
383,23.3,24.0,1,27.0,79,127
384,25.9,20.0,1,28.0,76,162
385,23.6,11.415652173913044,1,27.0,73,146
386,13.7,30.0,1,27.0,73,134
387,10.7,28.0,1,27.0,73,145
388,12.8,27.0,1,27.0,72,129
389,19.0,7.0,1,27.0,74,108
390,15.6,15.0,1,27.0,79,132
391,12.6,0.0,1,27.0,75,164
392,13.9,0.0,1,28.0,70,176
393,16.4,1.0,1,29.0,69,167
394,16.0,3.0,1,30.0,61,177
395,17.9,15.0,1,31.0,58,190
396,17.7,1.0,1,31.0,57,187
397,11.0,28.0,1,32.0,54,182
398,13.7,23.0,1,32.0,53,192
399,15.5,6.0,1,31.0,56,223
400,19.3,14.0,1,30.0,58,181
401,18.5,11.0,1,29.0,62,158
402,18.7,3.0,1,28.0,69,158
403,20.3,2.0,1,28.0,72,159
404,14.2,1.0,1,28.0,73,143
405,14.7,3.0,1,28.0,70,182
406,16.6,9.0,1,28.0,70,183
407,15.4,15.0,1,27.0,71,145
408,13.9,11.0,1,27.0,72,126
409,11.6,29.0,1,27.0,73,117
410,9.9,11.415652173913044,1,27.0,75,119
411,10.7,28.0,1,27.0,75,129
412,14.4,8.0,1,27.0,75,137
413,22.5,18.0,1,27.0,76,141
414,16.2,9.0,1,27.0,77,156
415,12.9,0.0,1,27.0,74,197
416,17.3,11.415652173913044,1,26.67025862068965,0,0
417,16.7,11.415652173913044,1,26.67025862068965,0,0
418,14.3,11.415652173913044,1,26.67025862068965,0,0
419,13.7,11.415652173913044,1,26.67025862068965,0,0
420,13.7,11.415652173913044,1,26.67025862068965,0,0
421,13.6,11.415652173913044,1,26.67025862068965,0,0
422,15.9,11.415652173913044,1,26.67025862068965,0,0
423,15.7,11.415652173913044,1,26.67025862068965,0,0
424,17.4,11.415652173913044,1,26.67025862068965,0,0
425,20.5,11.415652173913044,1,26.67025862068965,0,0
426,16.4,11.415652173913044,1,26.67025862068965,0,0
427,18.4,11.415652173913044,1,26.67025862068965,0,0
428,18.2,11.415652173913044,1,26.67025862068965,0,0
429,18.2,11.415652173913044,1,26.67025862068965,0,0
430,18.4,11.415652173913044,1,26.67025862068965,0,0
431,9.6,11.415652173913044,1,26.67025862068965,0,0
432,15.5,11.415652173913044,1,26.67025862068965,0,0
433,15.5,11.415652173913044,1,26.67025862068965,0,0
434,11.2,11.415652173913044,1,26.67025862068965,0,0
435,13.8,11.415652173913044,1,26.67025862068965,0,0
436,17.6,11.415652173913044,1,26.67025862068965,0,0
437,25.0,11.415652173913044,1,26.67025862068965,0,0
438,25.0,11.415652173913044,1,26.67025862068965,0,0
439,18.2,11.415652173913044,1,26.67025862068965,0,0
440,17.3,11.415652173913044,1,26.67025862068965,0,0
441,17.5,11.415652173913044,1,26.67025862068965,0,0
442,21.7,11.415652173913044,1,26.67025862068965,0,0
443,17.6,11.415652173913044,1,26.67025862068965,0,0
444,14.3,7.0,1,31.0,56,182
445,13.6,32.0,1,32.0,55,176
446,10.2,16.0,1,32.0,52,161
447,17.7,4.0,1,32.0,54,172
448,16.5,6.0,1,30.0,60,209
449,15.7,11.415652173913044,1,26.67025862068965,0,0
450,20.5,11.415652173913044,1,26.67025862068965,0,0
451,18.7,11.415652173913044,1,26.67025862068965,0,0
452,19.2,11.415652173913044,1,26.67025862068965,0,0
453,20.1,11.415652173913044,1,26.67025862068965,0,0
454,20.9,11.415652173913044,1,26.67025862068965,0,0
455,17.3,11.415652173913044,1,26.67025862068965,0,0
456,18.9,11.415652173913044,1,26.67025862068965,0,0
457,11.8,11.415652173913044,1,26.67025862068965,0,0
458,11.6,11.415652173913044,1,26.67025862068965,0,0
459,12.9,11.415652173913044,1,26.67025862068965,0,0
460,26.9,11.415652173913044,1,26.67025862068965,0,0
461,29.1,11.415652173913044,1,26.67025862068965,0,0
462,28.0,11.415652173913044,1,26.67025862068965,0,0
463,31.5,11.415652173913044,1,26.67025862068965,0,0
464,34.4,11.415652173913044,1,26.67025862068965,0,0
465,22.9,11.415652173913044,1,26.67025862068965,0,0
466,21.7,11.415652173913044,1,26.67025862068965,0,0
467,17.1,11.415652173913044,1,26.67025862068965,0,0
468,16.3,11.415652173913044,1,26.67025862068965,0,0
469,13.6,11.415652173913044,1,26.67025862068965,0,0
470,15.7,11.415652173913044,1,26.67025862068965,0,0
471,22.4,11.415652173913044,1,26.67025862068965,0,0
472,20.0,11.415652173913044,1,26.67025862068965,0,0
473,22.7,11.415652173913044,1,26.67025862068965,0,0
474,25.4,11.415652173913044,1,26.67025862068965,0,0
475,23.8,11.415652173913044,1,26.67025862068965,0,0
476,28.3,11.415652173913044,1,26.67025862068965,0,0
477,33.9,11.415652173913044,1,26.67025862068965,0,0
478,25.8,11.415652173913044,1,26.67025862068965,0,0
479,25.7,11.415652173913044,1,26.67025862068965,0,0
480,24.1,11.415652173913044,1,26.67025862068965,0,0
481,19.8,11.415652173913044,1,26.67025862068965,0,0
482,20.2,11.415652173913044,1,26.67025862068965,0,0
483,26.8,11.415652173913044,1,26.67025862068965,0,0
484,31.7,11.415652173913044,1,26.67025862068965,0,0
485,36.8,11.415652173913044,1,26.67025862068965,0,0
486,35.1,11.415652173913044,1,26.67025862068965,0,0
487,34.3,11.415652173913044,1,26.67025862068965,0,0
488,38.4,11.415652173913044,1,26.67025862068965,0,0
489,33.2,11.415652173913044,1,26.67025862068965,0,0
490,17.6904,11.415652173913044,1,26.67025862068965,0,0
491,25.6,11.415652173913044,1,26.67025862068965,0,0
492,23.6,11.415652173913044,1,26.67025862068965,0,0
493,14.1,11.415652173913044,1,26.67025862068965,0,0
494,24.3,11.415652173913044,1,26.67025862068965,0,0
495,23.1,11.415652173913044,1,26.67025862068965,0,0
496,27.8,11.415652173913044,1,26.67025862068965,0,0
497,22.9,11.415652173913044,1,26.67025862068965,0,0
498,26.3,11.415652173913044,1,26.67025862068965,0,0
499,21.5,11.415652173913044,1,26.67025862068965,0,0
500,20.4,11.415652173913044,1,26.67025862068965,0,0
501,25.1,11.415652173913044,1,26.67025862068965,0,0
502,26.4,11.415652173913044,1,26.67025862068965,0,0
503,25.1,11.415652173913044,1,26.67025862068965,0,0
504,21.3,11.415652173913044,1,26.67025862068965,0,0
505,20.4,11.415652173913044,1,26.67025862068965,0,0
506,23.0,11.415652173913044,1,26.67025862068965,0,0
507,28.7,11.415652173913044,1,26.67025862068965,0,0
508,28.9,11.415652173913044,1,26.67025862068965,0,0
509,23.0,11.415652173913044,1,26.67025862068965,0,0
510,21.2,11.415652173913044,1,26.67025862068965,0,0
511,22.8,7.0,1,26.0,85,104
512,22.0,17.0,1,28.0,77,98
513,28.1,26.0,1,28.0,75,93
514,22.5,24.0,1,29.0,73,115
515,21.9,16.0,1,26.0,84,92
516,13.5,18.0,1,28.0,75,92
517,12.3,23.0,1,29.0,69,107
518,10.8,26.0,1,30.0,65,128
519,7.9,24.0,1,30.0,64,140
520,8.1,21.0,1,29.0,67,132
521,9.5,20.0,1,29.0,70,124
522,11.3,19.0,1,28.0,71,119
523,9.3,16.0,1,27.0,78,110
524,8.1,13.0,1,27.0,81,110
525,9.9,9.0,1,26.0,84,109
526,12.3,13.0,2,26.0,86,115
527,16.4,17.0,1,25.0,87,111
528,9.8,16.0,1,25.0,92,109
529,12.2,3.0,1,25.0,93,109
530,13.2,2.0,1,25.0,93,105
531,9.7,2.0,1,25.0,93,126
532,12.0,1.0,1,24.0,90,120
533,10.9,5.0,1,23.0,80,119
534,11.4,0.0,1,23.0,84,106
535,10.2,11.415652173913044,1,25.0,81,95
536,7.3,11.0,1,28.0,65,93
537,7.2,0.0,1,29.0,61,125
538,6.9,2.0,1,30.0,61,99
539,9.5,0.0,1,30.0,59,126
540,12.4,1.0,1,30.0,62,113
541,14.4,5.0,1,30.0,63,111
542,13.0,3.0,1,30.0,64,150
543,16.4,1.0,1,30.0,61,133
544,7.6,0.0,1,29.0,63,147
545,14.8,2.0,1,29.0,69,123
546,12.3,0.0,1,28.0,74,123
547,14.2,2.0,1,28.0,77,108
548,13.5,2.0,1,28.0,73,135
549,17.6,11.415652173913044,1,26.67025862068965,0,0
550,16.1,17.0,1,27.0,77,119
551,11.3,2.0,1,27.0,78,117
552,12.7,15.0,1,27.0,79,95
553,10.2,0.0,1,27.0,79,102
554,13.9,1.0,1,27.0,80,101
555,15.9,1.0,1,27.0,81,95
556,13.6,0.0,1,27.0,81,106
557,13.7,0.0,1,27.0,82,111
558,14.4,0.0,1,27.0,82,115
559,13.5,11.0,1,27.0,82,114
560,15.4,11.415652173913044,1,27.0,79,111
561,14.3,7.0,1,28.0,76,109
562,14.2,10.0,1,30.0,68,111
563,13.6,24.0,1,30.0,64,150
564,12.8,23.0,1,30.0,60,134
565,18.3,23.0,1,30.0,63,151
566,15.8,0.0,1,28.0,80,123
567,15.5,1.0,1,29.0,73,128
568,16.7,9.0,1,28.0,74,154
569,15.5,2.0,1,27.0,79,119
570,14.3,1.0,1,27.0,79,126
571,14.7,0.0,1,27.0,80,126
572,15.0,3.0,1,27.0,81,136
573,15.7,17.0,1,27.0,83,127
574,10.9,24.0,1,26.0,85,128
575,8.4,26.0,1,26.0,87,130
576,9.3,27.0,1,26.0,86,114
577,11.2,27.0,1,26.0,84,120
578,19.2,15.0,1,26.0,84,132
579,13.0,10.0,1,26.0,85,115
580,12.3,11.415652173913044,1,26.0,85,165
581,12.3,0.0,1,26.0,85,129
582,13.5,0.0,1,26.0,86,163
583,11.8,20.0,1,26.0,87,191
584,7.5,5.0,1,25.0,89,173
585,10.0,11.415652173913044,1,26.0,90,189
586,10.1,12.0,1,27.0,87,214
587,9.4,0.0,1,28.0,80,171
588,8.4,1.0,1,28.0,79,192
589,16.2,2.0,1,28.0,80,155
590,17.7,4.0,1,27.0,81,234
591,20.6,8.0,1,28.0,75,220
592,14.9,17.0,1,27.0,79,172
593,12.4,26.0,1,27.0,78,169
594,9.6,31.0,1,27.0,82,195
595,8.9,19.0,1,27.0,79,168
596,18.2,29.0,1,26.0,83,171
597,17.2,31.0,1,26.0,82,183
598,15.8,34.0,1,27.0,80,136
599,14.0,33.0,1,27.0,76,197
600,16.2,26.0,1,27.0,75,137
601,14.0,24.0,1,27.0,75,156
602,10.2,34.0,1,27.0,78,152
603,12.5,34.0,1,26.0,86,136
604,9.9,21.0,1,26.0,83,169
605,7.7,16.0,1,26.0,80,150
606,12.6,11.0,1,27.0,79,108
607,13.5,23.0,1,27.0,78,101
608,9.0,30.0,1,28.0,73,91
609,15.8,31.0,1,29.0,70,188
610,20.3,11.415652173913044,1,30.0,67,225
611,14.9,29.0,1,31.0,62,216
612,15.5,13.0,1,31.0,61,232
613,17.4,25.0,1,30.0,65,223
614,17.7,29.0,1,30.0,66,206
615,17.9,25.0,1,29.0,69,222
616,20.1,9.0,2,28.0,77,234
617,16.1,30.0,1,27.0,80,208
618,15.7,31.0,1,27.0,79,180
619,17.0,30.0,1,27.0,78,193
620,22.6,31.0,1,27.0,77,191
621,24.2,32.0,1,27.0,76,179
622,23.3,33.0,1,27.0,77,172
623,16.9,36.0,1,27.0,77,184
624,22.9,35.0,1,27.0,77,157
625,19.5,33.0,1,27.0,78,156
626,14.9,34.0,1,27.0,77,127
627,17.8,34.0,1,26.0,78,124
628,15.1,32.0,1,26.0,79,111
629,19.1,28.0,1,26.0,80,107
630,20.3,27.0,1,26.0,80,113
631,18.5,31.0,1,27.0,77,123
632,14.4,28.0,1,28.0,68,150
633,14.5,26.0,1,29.0,63,201
634,18.8,12.0,1,29.0,65,190
635,13.8,11.415652173913044,1,31.0,56,233
636,14.0,31.0,1,31.0,59,191
637,18.4,30.0,1,31.0,58,159
638,21.1,30.0,1,30.0,63,173
639,20.2,30.0,1,30.0,65,176
640,16.1,30.0,1,29.0,65,192
641,14.3,37.0,1,28.0,72,207
642,15.5,36.0,1,27.0,74,227
643,12.1,30.0,1,27.0,75,201
644,13.3,30.0,1,27.0,77,182
645,16.7,29.0,1,27.0,76,173
646,17.0,31.0,1,27.0,75,172
647,13.1,32.0,1,27.0,76,122
648,11.8,31.0,1,26.0,78,108
649,14.4,32.0,1,26.0,78,110
650,24.2,33.0,1,26.0,78,102
651,21.0,34.0,1,26.0,78,111
652,18.0,35.0,1,26.0,78,141
653,13.6,33.0,1,26.0,78,134
654,17.6,31.0,1,26.0,76,119
