,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD,stationID
0,2024-01-01 00:00:00,16.5,,16.0,,,,1,27,79,115,44t
1,2024-01-01 01:00:00,33.6,,0.0,,,,1,27,82,97,44t
2,2024-01-01 02:00:00,34.2,,0.0,,,,1,26,84,96,44t
3,2024-01-01 03:00:00,20.1,,0.0,,,,1,26,82,108,44t
4,2024-01-01 04:00:00,16.5,,1.0,,,,1,27,79,106,44t
5,2024-01-01 05:00:00,15.4,,1.0,,,,1,26,82,108,44t
6,2024-01-01 06:00:00,15.7,,7.0,,,,1,26,82,109,44t
7,2024-01-01 07:00:00,18.1,,1.0,,,,1,27,79,114,44t
8,2024-01-01 08:00:00,19.5,,0.0,,,,1,28,72,110,44t
9,2024-01-01 09:00:00,17.5,,1.0,,,,1,29,68,120,44t
10,2024-01-01 10:00:00,16.4,,,,,,1,30,65,151,44t
11,2024-01-01 11:00:00,15.8,,9.0,,,,1,31,60,177,44t
12,2024-01-01 12:00:00,16.7,,14.0,,,,1,32,57,174,44t
13,2024-01-01 13:00:00,14.8,,25.0,,,,1,32,53,157,44t
14,2024-01-01 14:00:00,13.4,,0.0,,,,1,32,50,144,44t
15,2024-01-01 15:00:00,10.4,,21.0,,,,1,32,52,151,44t
16,2024-01-01 16:00:00,11.4,,21.0,,,,1,31,56,146,44t
17,2024-01-01 17:00:00,12.7,,0.0,,,,2,30,62,128,44t
18,2024-01-01 18:00:00,13.9,,19.0,,,,1,29,71,148,44t
19,2024-01-01 19:00:00,14.5,,10.0,,,,1,28,75,149,44t
20,2024-01-01 20:00:00,13.1,,0.0,,,,1,28,76,121,44t
21,2024-01-01 21:00:00,15.2,,0.0,,,,1,28,76,116,44t
22,2024-01-01 22:00:00,16.9,,2.0,,,,1,28,78,116,44t
23,2024-01-01 23:00:00,15.2,,2.0,,,,1,28,79,117,44t
24,2024-01-02 00:00:00,12.4,,0.0,,,,2,27,79,120,44t
25,2024-01-02 01:00:00,11.8,,7.0,,,,1,27,80,114,44t
26,2024-01-02 02:00:00,12.5,,0.0,,,,0,26,85,106,44t
27,2024-01-02 03:00:00,13.5,,1.0,,,,0,26,89,105,44t
28,2024-01-02 04:00:00,14.9,,1.0,,,,1,25,91,107,44t
29,2024-01-02 05:00:00,12.6,,1.0,,,,0,25,93,103,44t
30,2024-01-02 06:00:00,15.2,,0.0,,,,0,25,92,105,44t
31,2024-01-02 07:00:00,19.3,,2.0,,,,1,26,88,106,44t
32,2024-01-02 08:00:00,18.7,,0.0,,,,1,29,72,118,44t
33,2024-01-02 09:00:00,17.2,,9.0,,,,2,30,66,129,44t
34,2024-01-02 10:00:00,11.7,,22.0,,,,1,31,59,132,44t
35,2024-01-02 11:00:00,12.5,,,,,,1,31,55,193,44t
36,2024-01-02 12:00:00,11.3,,10.0,,,,1,32,55,146,44t
37,2024-01-02 13:00:00,11.1,,1.0,,,,1,32,53,203,44t
38,2024-01-02 14:00:00,12.0,,7.0,,,,1,32,54,173,44t
39,2024-01-02 15:00:00,9.9,,0.0,,,,1,31,56,178,44t
40,2024-01-02 16:00:00,9.3,,2.0,,,,1,31,57,171,44t
41,2024-01-02 17:00:00,9.9,,1.0,,,,1,29,65,180,44t
42,2024-01-02 18:00:00,10.8,,15.0,,,,1,28,71,138,44t
43,2024-01-02 19:00:00,16.5,,9.0,,,,1,28,73,134,44t
44,2024-01-02 20:00:00,13.1,,0.0,,,,1,28,74,126,44t
45,2024-01-02 21:00:00,15.3,,0.0,,,,1,28,76,111,44t
46,2024-01-02 22:00:00,14.3,,2.0,,,,1,27,77,111,44t
47,2024-01-02 23:00:00,12.6,,3.0,,,,1,27,77,113,44t
48,2024-01-03 00:00:00,9.9,,12.0,,,,1,27,80,109,44t
49,2024-01-03 01:00:00,10.8,,0.0,,,,0,26,83,105,44t
50,2024-01-03 02:00:00,14.8,,0.0,,,,0,26,84,106,44t
51,2024-01-03 03:00:00,13.1,,0.0,,,,0,26,86,106,44t
52,2024-01-03 04:00:00,21.1,,1.0,,,,0,25,90,108,44t
53,2024-01-03 05:00:00,13.6,,1.0,,,,1,25,92,106,44t
54,2024-01-03 06:00:00,14.5,,1.0,,,,1,25,91,106,44t
55,2024-01-03 07:00:00,17.0,,1.0,,,,1,26,87,106,44t
56,2024-01-03 08:00:00,21.3,,0.0,,,,1,29,74,116,44t
57,2024-01-03 09:00:00,17.4,,3.0,,,,1,30,67,123,44t
58,2024-01-03 10:00:00,18.2,,26.0,,,,1,31,59,148,44t
59,2024-01-03 11:00:00,19.2,,14.0,,,,1,31,58,168,44t
60,2024-01-03 12:00:00,11.4,,,,,,1,32,55,193,44t
61,2024-01-03 13:00:00,15.1,,5.0,,,,1,32,52,204,44t
62,2024-01-03 14:00:00,14.8,,19.0,,,,1,32,53,168,44t
63,2024-01-03 15:00:00,15.2,,15.0,,,,1,32,56,156,44t
64,2024-01-03 16:00:00,16.6,,0.0,,,,1,31,59,153,44t
65,2024-01-03 17:00:00,16.7,,3.0,,,,1,30,65,160,44t
66,2024-01-03 18:00:00,15.6,,2.0,,,,1,29,71,190,44t
